kepid,kepoi_name,koi_disposition,koi_score,koi_period,koi_prad,koi_teq,koi_insol,koi_steff,koi_srad,koi_slogg,koi_kepmag,rho_p,Pmin_day,planet_type,is_habitable
8702537,K07905.01,1,0.924,7.4751841,0.85,1168.0,439.51,5616.0,1.602,3.98,13.075,5.5,0.22386075217339096,rocky,False
9043947,K07920.01,1,0.869,1.04347858,1.09,2688.0,12313.82,6014.0,2.246,3.843,13.292,5.5,0.22386075217339096,rocky,False
10198225,K07991.01,1,0.989,11.9451376,3.32,1337.0,755.16,5094.0,4.163,3.38,12.609,1.6,0.4150489428970998,neptune_like,False
10331279,K08000.01,1,0.975,225.48805,1.7,267.0,1.2,5663.0,0.782,4.579,15.306,3.0,0.30310889132455354,intermediate,False
10403228,K08007.01,1,0.804,67.176626864,9.66,179.0,0.24,3391.0,0.311,4.936,16.064,1.0,0.525,gas_giant,False
10452252,K08012.01,1,0.989,34.573718512,0.42,199.0,0.37,3374.0,0.218,5.066,15.708,5.5,0.22386075217339096,rocky,True
10536241,K08026.01,1,0.918,7.7529342,0.93,1002.0,238.09,5975.0,1.072,4.335,14.751,5.5,0.22386075217339096,rocky,False
9087580,K07924.01,1,0.981,0.770658979,0.68,1548.0,1348.87,5058.0,0.739,4.61,15.132,5.5,0.22386075217339096,rocky,False
9099607,K07925.01,1,0.953,4.6318914,0.64,1060.0,297.79,5926.0,0.887,4.532,14.272,5.5,0.22386075217339096,rocky,False
10862759,K08035.01,1,0.846,29.4856392,1.46,793.0,93.27,6870.0,1.407,4.266,13.783,5.5,0.22386075217339096,rocky,False
10920281,K08037.01,1,1.0,3.65034525,0.72,578.0,26.47,3704.0,0.45,4.797,15.519,5.5,0.22386075217339096,rocky,False
11139682,K08043.01,1,0.978,10.7781558,1.24,942.0,186.22,6386.0,1.123,4.402,15.267,5.5,0.22386075217339096,rocky,False
9390228,K07934.01,1,0.943,22.6432436,2.12,624.0,35.77,5880.0,0.891,4.516,15.581,3.0,0.30310889132455354,intermediate,False
9521317,K07940.01,1,0.896,188.881049,1.86,330.0,2.79,6077.0,0.999,4.471,12.85,3.0,0.30310889132455354,intermediate,False
11358305,K08052.01,1,0.941,7.8687123,1.73,1323.0,722.44,6738.0,1.692,4.109,13.41,3.0,0.30310889132455354,intermediate,False
11392362,K08053.01,1,0.997,9.9105786,1.19,922.0,170.47,6214.0,1.076,4.442,14.863,5.5,0.22386075217339096,rocky,False
11443757,K08054.01,1,0.995,43.9088053,7.33,885.0,144.75,5216.0,4.303,3.402,13.589,1.0,0.525,gas_giant,False
11453349,K08055.01,1,0.907,4.40660737,0.86,1152.0,415.56,6063.0,1.001,4.47,14.689,5.5,0.22386075217339096,rocky,False
9604563,K07949.01,1,0.912,1.001916708,0.62,1545.0,1352.47,5521.0,0.734,4.613,14.985,5.5,0.22386075217339096,rocky,False
